segment_id,time_step,load_cycles,wear_level,alignment_deviation,vibration_index,environment_factor,degradation_rate,risk_score,fault_label
1,0,350,0.063,0.17,4.5,0.94,0.07769752800786107,0.044,Normal
1,1,127,0.063,0.05,4.0,0.94,0.05281311405391288,0.039,Normal
1,2,238,0.063,0.15,4.4,1.17,0.060786572350597735,0.043,Normal
1,3,112,0.063,0.47,5.7,1.06,0.08124773672106271,0.057,Normal
1,4,474,0.064,0.36,5.3,1.08,0.05565903513861847,0.052,Normal
1,5,853,0.065,0.11,4.3,1.14,0.10642971751444194,0.042,Normal
1,6,483,0.065,0.23,4.8,0.99,0.13266302866623864,0.047,Normal
1,7,438,0.066,0.31,5.2,1.06,0.05963381785991468,0.051,Normal
1,8,527,0.066,0.31,5.2,0.88,0.07620398646605872,0.051,Normal
1,9,491,0.066,0.48,5.9,1.11,0.015276952993952951,0.058,Normal
1,10,177,0.066,0.69,6.7,1.04,0.040403876264021484,0.067,Normal
1,11,708,0.066,0.52,6.1,0.85,0.03538926376527408,0.06,Normal
1,12,546,0.066,0.82,7.3,0.95,0.04703743480464996,0.073,Normal
1,13,783,0.067,0.97,7.9,1.04,0.037863002754524616,0.079,Normal
1,14,838,0.068,1.37,9.6,1.12,0.1462786083376325,0.097,Normal
1,15,313,0.068,1.36,9.6,1.19,0.04779921202407227,0.097,Normal
1,16,586,0.069,1.75,11.1,0.9,0.05714840388299734,0.113,Normal
1,17,609,0.069,2.16,12.8,1.16,0.05548377116204297,0.131,Surface_Crack
1,18,186,0.069,2.06,12.4,1.09,0.054187329333795664,0.127,Surface_Crack
1,19,189,0.069,1.81,11.4,0.96,0.020862846773083487,0.116,Normal
1,20,322,0.069,2.1,12.5,1.0,0.07102516923670829,0.128,Surface_Crack
1,21,182,0.07,1.98,12.1,0.84,0.07840925940739166,0.123,Normal
1,22,920,0.07,2.12,12.7,1.13,0.014153539851164626,0.13,Surface_Crack
1,23,288,0.07,2.39,13.8,1.04,0.0373667852614202,0.141,Surface_Crack
1,24,359,0.07,2.25,13.2,1.02,0.14789711670666789,0.135,Surface_Crack
1,25,355,0.07,2.16,12.9,1.03,0.01685119103746457,0.131,Surface_Crack
1,26,142,0.07,2.31,13.5,1.14,0.017357125329956244,0.138,Surface_Crack
1,27,785,0.071,2.6,14.7,1.18,0.08117683721575117,0.15,Surface_Crack
1,28,547,0.072,2.52,14.4,1.08,0.07165439182600211,0.147,Surface_Crack
1,29,187,0.072,2.55,14.5,0.9,0.07983137615578174,0.149,Surface_Crack
1,30,754,0.072,2.47,14.2,1.06,0.019133239686313957,0.145,Surface_Crack
1,31,713,0.072,2.39,13.9,0.93,0.013182536012378433,0.142,Surface_Crack
1,32,532,0.072,2.35,13.7,1.01,0.07490052201298159,0.141,Surface_Crack
1,33,651,0.073,2.2,13.2,0.98,0.04148320047668109,0.135,Surface_Crack
1,34,800,0.073,2.42,14.0,1.01,0.023825814443967912,0.144,Surface_Crack
1,35,191,0.073,2.67,15.1,0.82,0.025905776177202515,0.155,Surface_Crack
1,36,375,0.073,2.83,15.7,0.94,0.05706322449849482,0.161,Surface_Crack
1,37,210,0.073,2.53,14.5,0.95,0.0504238289909582,0.149,Surface_Crack
1,38,395,0.074,2.59,14.8,0.83,0.1223231677658877,0.151,Surface_Crack
1,39,587,0.074,3.06,16.7,0.95,0.06267405691406794,0.172,Surface_Crack
1,40,466,0.074,3.48,18.4,0.94,0.06844225789587258,0.189,Surface_Crack
1,41,789,0.074,3.42,18.1,0.81,0.0181550813200323,0.187,Surface_Crack
1,42,647,0.075,3.49,18.4,1.09,0.03278225386882877,0.19,Surface_Crack
1,43,616,0.075,3.42,18.2,1.04,0.020191671540516543,0.187,Surface_Crack
1,44,974,0.075,3.34,17.9,1.04,0.06251736128889736,0.184,Surface_Crack
1,45,823,0.076,3.44,18.3,0.99,0.07663968937927634,0.188,Surface_Crack
1,46,153,0.076,3.39,18.1,0.99,0.10221623872656074,0.187,Surface_Crack
1,47,378,0.076,3.24,17.6,0.85,0.030984599277664414,0.18,Surface_Crack
1,48,565,0.077,3.55,18.8,0.84,0.06512397157611513,0.193,Surface_Crack
1,49,593,0.077,3.37,18.1,0.9,0.07397213226156074,0.186,Surface_Crack
1,50,568,0.077,3.15,17.2,0.88,0.07695537804399129,0.177,Surface_Crack
1,51,215,0.077,3.04,16.8,0.98,0.06592168418064491,0.172,Surface_Crack
1,52,739,0.078,2.99,16.6,1.06,0.015198723660220487,0.171,Surface_Crack
1,53,651,0.078,3.22,17.5,1.1,0.032809108583296574,0.18,Surface_Crack
1,54,897,0.078,3.56,19.0,0.96,0.052484994485870205,0.195,Surface_Crack
1,55,844,0.078,3.39,18.3,1.16,0.010333118170811194,0.188,Surface_Crack
1,56,697,0.079,3.4,18.3,0.83,0.05223208473093734,0.189,Surface_Crack
1,57,407,0.079,3.5,18.7,1.01,0.037605099346261245,0.193,Surface_Crack
1,58,712,0.079,3.35,18.1,0.92,0.020361761304031067,0.187,Surface_Crack
1,59,354,0.079,3.24,17.7,0.92,0.06889401042171804,0.182,Surface_Crack
1,60,242,0.079,3.16,17.4,1.17,0.05903340766475711,0.179,Surface_Crack
1,61,493,0.079,3.18,17.5,1.2,0.021644599361646494,0.18,Surface_Crack
1,62,637,0.08,3.38,18.3,1.09,0.07427597196542719,0.189,Surface_Crack
1,63,471,0.08,3.61,19.2,1.04,0.05477975590024116,0.198,Surface_Crack
1,64,422,0.081,3.58,19.1,1.14,0.056785873772557054,0.197,Surface_Crack
1,65,200,0.081,3.69,19.6,1.19,0.1031721703708875,0.202,Surface_Crack
1,66,544,0.081,3.8,20.1,1.18,0.07023201859221682,0.207,Surface_Crack
1,67,569,0.082,3.89,20.5,1.13,0.05660962290862541,0.211,Surface_Crack
1,68,604,0.082,4.04,21.1,0.87,0.05458209754422987,0.217,Surface_Crack
1,69,153,0.082,4.23,21.8,1.05,0.02932688311880513,0.225,Surface_Crack
1,70,673,0.082,4.43,22.7,1.07,0.04194105298961852,0.234,Surface_Crack
1,71,608,0.083,4.54,23.1,1.11,0.06414852948142132,0.239,Surface_Crack
1,72,938,0.083,4.59,23.3,0.96,0.017758306157630233,0.241,Surface_Crack
1,73,562,0.083,4.88,24.5,0.9,0.05923213286001131,0.253,Surface_Crack
1,74,957,0.083,4.82,24.3,1.09,0.017304743103408557,0.251,Surface_Crack
1,75,326,0.083,5.07,25.3,0.92,0.07593223025020289,0.261,Misalignment
1,76,480,0.084,5.17,25.7,0.99,0.03533673351333275,0.265,Misalignment
1,77,124,0.084,5.25,26.0,0.81,0.029900915400282002,0.269,Misalignment
1,78,103,0.084,5.31,26.3,1.07,0.05163362260562683,0.272,Misalignment
1,79,497,0.085,5.23,26.0,1.15,0.13650407692582373,0.269,Misalignment
1,80,120,0.085,5.4,26.7,0.89,0.025809684454458456,0.276,Misalignment
1,81,413,0.085,5.52,27.2,0.91,0.055281035484649486,0.281,Misalignment
1,82,609,0.085,5.43,26.8,0.95,0.03794779877062378,0.277,Misalignment
1,83,143,0.085,5.99,29.1,0.97,0.039577383018275535,0.301,Misalignment
1,84,287,0.085,6.13,29.6,1.09,0.07037855610624866,0.307,Misalignment
1,85,583,0.085,5.85,28.5,0.82,0.03690403779802871,0.295,Misalignment
1,86,197,0.085,5.76,28.2,0.86,0.02915465238053392,0.291,Misalignment
1,87,299,0.086,5.98,29.1,0.99,0.06277720253243979,0.301,Misalignment
1,88,806,0.086,5.97,29.1,0.84,0.076168809694518,0.301,Misalignment
1,89,580,0.087,5.77,28.3,1.0,0.07178783989515174,0.293,Misalignment
1,90,831,0.087,5.89,28.8,1.17,0.040304416607234175,0.298,Misalignment
1,91,449,0.087,5.91,28.9,1.14,0.06486627051165424,0.299,Misalignment
1,92,414,0.088,6.06,29.5,0.88,0.09204080658536111,0.306,Misalignment
1,93,702,0.088,5.97,29.2,1.01,0.03229713574298905,0.302,Misalignment
1,94,651,0.088,5.88,28.8,0.95,0.09678944207046247,0.298,Misalignment
1,95,924,0.089,6.14,29.9,1.1,0.03127453365591934,0.309,Misalignment
1,96,803,0.089,6.05,29.5,1.19,0.02310600653394365,0.306,Misalignment
1,97,631,0.089,5.98,29.3,0.88,0.07703939552131947,0.303,Misalignment
1,98,343,0.09,5.86,28.8,1.14,0.02261105478548511,0.298,Misalignment
1,99,203,0.09,5.79,28.5,1.17,0.06801528086103503,0.295,Misalignment
1,100,975,0.09,5.87,28.9,1.07,0.014096711762272972,0.299,Misalignment
1,101,359,0.09,5.75,28.4,0.93,0.1351497967467656,0.294,Misalignment
1,102,380,0.091,5.72,28.3,0.94,0.07362915935666954,0.293,Misalignment
1,103,217,0.091,5.95,29.2,0.97,0.02375099139562499,0.303,Misalignment
1,104,727,0.092,6.17,30.2,1.18,0.1271293095874405,0.312,Misalignment
1,105,754,0.092,6.45,31.3,1.06,0.024582835322881448,0.324,Misalignment
1,106,954,0.092,6.64,32.1,0.86,0.02804993578753688,0.332,Misalignment
1,107,843,0.093,6.61,32.0,0.95,0.05719052620602044,0.331,Misalignment
1,108,131,0.093,6.71,32.4,1.2,0.14499881997903638,0.336,Misalignment
1,109,318,0.093,6.84,32.9,1.03,0.03152466142642605,0.341,Misalignment
1,110,552,0.093,7.0,33.6,0.99,0.0454629293095702,0.348,Misalignment
1,111,732,0.094,7.13,34.2,1.05,0.14844882020439776,0.354,Misalignment
1,112,403,0.095,7.26,34.7,0.96,0.08478162401996821,0.36,Misalignment
1,113,799,0.095,7.41,35.3,1.15,0.010074243717406985,0.366,Misalignment
1,114,568,0.095,7.57,36.0,1.14,0.05717907892225441,0.373,Misalignment
1,115,700,0.095,7.69,36.5,0.83,0.06568707646144822,0.378,Misalignment
1,116,539,0.096,7.77,36.8,0.85,0.037120304730788534,0.382,Misalignment
1,117,241,0.096,8.01,37.8,1.04,0.0751015344098529,0.392,Misalignment
1,118,603,0.096,7.92,37.5,1.12,0.04046144590478225,0.388,Misalignment
1,119,509,0.096,7.82,37.0,0.97,0.010023977773009929,0.384,Misalignment
1,120,628,0.097,7.77,36.9,1.14,0.11716189681382952,0.383,Misalignment
1,121,455,0.097,8.05,38.0,1.02,0.030440093997278657,0.394,Misalignment
1,122,723,0.098,8.34,39.2,0.83,0.10920073517276793,0.407,Misalignment
1,123,142,0.098,8.2,38.7,0.88,0.04011878760868728,0.401,Misalignment
1,124,401,0.098,8.29,39.0,1.15,0.051348535323666795,0.405,Misalignment
1,125,682,0.098,8.21,38.7,1.12,0.040294242963612434,0.402,Misalignment
1,126,890,0.099,8.37,39.4,1.02,0.018027794594850384,0.409,Misalignment
1,127,832,0.1,8.52,40.1,1.08,0.11382881426486136,0.416,Misalignment
1,128,990,0.1,8.35,39.4,1.17,0.07180939234602682,0.409,Misalignment
1,129,837,0.101,8.37,39.5,0.94,0.014820837210360146,0.41,Misalignment
1,130,228,0.101,8.44,39.8,0.9,0.07595835639705453,0.413,Misalignment
1,131,586,0.101,8.66,40.7,1.0,0.03076331021223322,0.422,Misalignment
1,132,581,0.101,8.85,41.5,1.15,0.06447166308048166,0.431,Misalignment
1,133,108,0.101,8.92,41.8,0.81,0.12635434070989124,0.434,Misalignment
1,134,837,0.102,8.97,42.0,1.16,0.04808222300335616,0.436,Misalignment
1,135,649,0.102,8.64,40.7,1.05,0.015556360918530517,0.422,Misalignment
1,136,146,0.102,8.79,41.3,0.97,0.03981469469156211,0.428,Misalignment
1,137,512,0.102,8.93,41.9,0.97,0.0681335533585153,0.434,Misalignment
1,138,866,0.103,9.13,42.7,0.92,0.09843321172532553,0.443,Misalignment
1,139,530,0.104,9.14,42.8,1.11,0.05880966172282359,0.444,Misalignment
1,140,866,0.104,9.08,42.5,1.17,0.054873510776390334,0.442,Misalignment
1,141,548,0.104,9.11,42.7,1.19,0.03219200345698622,0.443,Misalignment
1,142,830,0.105,9.08,42.6,0.87,0.07104886851419834,0.442,Misalignment
1,143,164,0.105,9.05,42.5,0.85,0.07216234711287753,0.441,Misalignment
1,144,281,0.105,9.12,42.8,1.16,0.01390587044311619,0.444,Misalignment
1,145,281,0.105,9.12,42.8,1.15,0.1079358828996998,0.444,Misalignment
1,146,276,0.106,9.07,42.6,0.82,0.11317902397975795,0.442,Misalignment
1,147,946,0.106,8.96,42.2,1.06,0.011193565983681639,0.438,Misalignment
1,148,216,0.106,9.0,42.4,1.19,0.1030141954367991,0.439,Misalignment
1,149,339,0.106,9.1,42.8,0.9,0.02229559880634887,0.444,Misalignment
1,150,346,0.106,9.01,42.4,1.04,0.06024660533464544,0.44,Misalignment
1,151,629,0.107,8.8,41.6,1.04,0.07137953509776399,0.431,Misalignment
1,152,803,0.107,8.92,42.1,0.82,0.04620772286508769,0.436,Misalignment
1,153,991,0.108,9.0,42.5,1.13,0.10637723763603102,0.441,Misalignment
1,154,277,0.108,9.25,43.5,1.17,0.0330624001289615,0.451,Misalignment
1,155,304,0.108,9.48,44.4,0.87,0.04999420709832219,0.461,Misalignment
1,156,764,0.109,9.83,45.9,1.01,0.06619059617971709,0.476,Misalignment
1,157,232,0.109,9.78,45.7,1.03,0.04887544292984494,0.474,Misalignment
1,158,514,0.109,9.91,46.2,1.12,0.015866727095990102,0.48,Misalignment
1,159,328,0.109,10.0,46.6,1.01,0.06733077531482913,0.483,Misalignment
1,160,707,0.11,9.79,45.7,0.89,0.07509294380957249,0.475,Misalignment
1,161,885,0.11,9.41,44.2,0.82,0.05681205757139852,0.459,Misalignment
1,162,163,0.11,9.58,45.0,0.96,0.12669827167530856,0.467,Misalignment
1,163,200,0.111,9.52,44.7,0.83,0.05014796848258807,0.464,Misalignment
1,164,955,0.111,9.58,45.0,0.93,0.06319677398310565,0.467,Misalignment
1,165,422,0.111,9.57,44.9,0.85,0.047836534230312415,0.466,Misalignment
1,166,156,0.111,9.4,44.3,1.02,0.05759868182869712,0.459,Misalignment
1,167,645,0.112,9.1,43.1,0.86,0.037988354418523114,0.447,Misalignment
1,168,848,0.112,9.31,43.9,1.1,0.029267652180973318,0.456,Misalignment
1,169,546,0.112,9.57,45.0,1.16,0.03908436566672289,0.467,Misalignment
1,170,329,0.112,9.8,45.9,1.0,0.0602219438185142,0.477,Misalignment
1,171,277,0.112,9.57,45.0,1.11,0.062194025308850646,0.467,Misalignment
1,172,266,0.113,9.34,44.1,0.9,0.06727400883749672,0.458,Misalignment
1,173,913,0.113,9.54,44.9,0.96,0.03213492491685313,0.466,Misalignment
1,174,456,0.113,9.47,44.7,1.14,0.05320928346340113,0.463,Misalignment
1,175,544,0.114,9.63,45.3,1.04,0.059717342337627745,0.47,Misalignment
1,176,757,0.114,9.81,46.1,1.09,0.0781612517818487,0.478,Misalignment
1,177,626,0.114,9.78,46.0,1.06,0.038654754074073656,0.477,Misalignment
1,178,408,0.115,9.95,46.7,1.13,0.07877736595159815,0.485,Misalignment
1,179,484,0.115,10.0,46.9,1.06,0.051136625633605756,0.487,Misalignment
1,180,442,0.115,9.92,46.6,0.99,0.05627857372345633,0.484,Misalignment
1,181,816,0.116,10.0,46.9,0.85,0.05595471836113155,0.487,Misalignment
1,182,646,0.116,9.76,46.0,0.87,0.07310335414728032,0.477,Misalignment
1,183,341,0.116,9.7,45.8,0.96,0.09017158208453657,0.475,Misalignment
1,184,503,0.116,9.69,45.7,1.01,0.02199913675235678,0.474,Misalignment
1,185,991,0.117,9.6,45.4,0.81,0.010311243377503125,0.471,Misalignment
1,186,987,0.117,9.45,44.8,0.97,0.06643358588528937,0.465,Misalignment
1,187,717,0.118,9.41,44.7,0.93,0.07165811125094265,0.463,Misalignment
1,188,522,0.118,9.21,43.9,0.86,0.07816430880879449,0.455,Misalignment
1,189,106,0.118,9.13,43.6,1.02,0.12594269631220156,0.452,Misalignment
1,190,272,0.118,9.45,44.9,1.08,0.0114921736161335,0.465,Misalignment
1,191,884,0.118,9.59,45.5,1.17,0.024882783104500556,0.471,Misalignment
1,192,941,0.119,9.61,45.6,0.97,0.011256699947315481,0.472,Misalignment
1,193,227,0.119,10.0,47.1,1.08,0.062614634069386,0.489,Misalignment
1,194,289,0.119,10.0,47.1,0.8,0.020490262559807966,0.489,Misalignment
1,195,826,0.119,10.0,47.1,1.13,0.02815978182579911,0.489,Misalignment
1,196,711,0.12,10.0,47.2,1.01,0.0730040057383078,0.489,Misalignment
1,197,598,0.12,10.0,47.2,1.16,0.1281836090912684,0.49,Misalignment
1,198,147,0.12,9.84,46.6,1.16,0.015516543286428194,0.483,Misalignment
1,199,982,0.121,10.0,47.2,0.88,0.04180985929270144,0.49,Misalignment
1,200,544,0.121,10.0,47.3,0.9,0.07793921700247348,0.49,Misalignment
1,201,470,0.121,10.0,47.3,0.94,0.06393543133571639,0.49,Misalignment
1,202,224,0.122,9.96,47.1,1.14,0.07276135029663636,0.489,Misalignment
1,203,758,0.122,9.75,46.4,1.01,0.09108243330142071,0.481,Misalignment
1,204,756,0.123,10.0,47.4,1.08,0.06994740022229694,0.491,Misalignment
1,205,273,0.123,10.0,47.4,0.86,0.039446331357826867,0.491,Misalignment
1,206,870,0.123,9.82,46.7,0.89,0.022472464590865708,0.484,Misalignment
1,207,659,0.123,9.84,46.8,0.92,0.042155288479003516,0.485,Misalignment
1,208,249,0.124,10.0,47.4,1.07,0.012665961435898555,0.492,Misalignment
1,209,232,0.124,10.0,47.4,0.8,0.028314530824964643,0.492,Misalignment
1,210,930,0.124,9.8,46.6,0.87,0.026292832100652357,0.484,Misalignment
1,211,296,0.124,10.0,47.4,1.03,0.032916128997415806,0.492,Misalignment
1,212,831,0.124,10.0,47.4,0.88,0.029758784050004365,0.492,Misalignment
1,213,486,0.124,10.0,47.4,0.98,0.010562727680405679,0.492,Misalignment
1,214,517,0.124,9.9,47.1,0.81,0.03499238856094058,0.488,Misalignment
1,215,669,0.125,10.0,47.5,1.07,0.14109001529156717,0.493,Misalignment
1,216,845,0.126,10.0,47.5,0.91,0.06749975862778144,0.493,Misalignment
1,217,754,0.126,9.92,47.3,0.92,0.04496277207528514,0.49,Misalignment
1,218,214,0.126,9.78,46.7,1.19,0.05012907825319006,0.484,Misalignment
1,219,357,0.127,9.93,47.3,1.0,0.06959993921715016,0.49,Misalignment
1,220,102,0.127,10.0,47.6,1.14,0.0544672959956457,0.493,Misalignment
