segment_id,time_step,load_cycles,wear_level,alignment_deviation,vibration_index,environment_factor,degradation_rate,risk_score,fault_label
1,0,967,0.134,0.13,8.5,0.84,0.014,0.083,Normal
1,1,137,0.134,0.16,8.7,0.91,0.123,0.084,Normal
1,2,124,0.134,0.17,8.7,0.85,0.025,0.085,Normal
1,3,943,0.134,0.23,9.0,1.07,0.03,0.087,Normal
1,4,681,0.134,0.2,8.9,0.81,0.013,0.086,Normal
1,5,204,0.134,0.19,8.8,0.96,0.095,0.086,Normal
1,6,154,0.134,0.18,8.8,1.17,0.026,0.085,Normal
1,7,835,0.135,0.18,8.8,0.92,0.06,0.086,Normal
1,8,393,0.135,0.17,8.8,1.1,0.018,0.085,Normal
1,9,311,0.135,0.17,8.8,0.98,0.039,0.085,Normal
1,10,562,0.136,0.17,8.8,1.19,0.144,0.086,Normal
1,11,247,0.136,0.13,8.7,1.18,0.039,0.084,Normal
1,12,759,0.136,0.13,8.7,0.89,0.048,0.085,Normal
1,13,630,0.137,0.11,8.7,0.99,0.132,0.084,Normal
1,14,525,0.137,0.11,8.7,1.0,0.035,0.085,Normal
1,15,619,0.138,0.1,8.7,0.86,0.011,0.084,Normal
1,16,208,0.138,0.11,8.7,1.02,0.043,0.085,Normal
1,17,874,0.138,0.11,8.7,0.86,0.067,0.085,Normal
1,18,562,0.138,0.11,8.7,1.15,0.045,0.085,Normal
1,19,555,0.139,0.13,8.8,0.99,0.026,0.086,Normal
1,20,222,0.139,0.13,8.8,1.07,0.026,0.086,Normal
1,21,189,0.139,0.14,8.9,1.11,0.049,0.086,Normal
1,22,278,0.139,0.15,8.9,1.04,0.033,0.087,Normal
1,23,140,0.139,0.14,8.9,1.08,0.019,0.087,Normal
1,24,524,0.139,0.17,9.1,0.81,0.127,0.088,Normal
1,25,304,0.14,0.18,9.1,0.98,0.037,0.088,Normal
1,26,128,0.14,0.13,8.9,1.13,0.067,0.087,Normal
1,27,404,0.14,0.15,9.0,1.13,0.062,0.087,Normal
1,28,571,0.14,0.15,9.0,1.15,0.034,0.088,Normal
1,29,230,0.14,0.15,9.0,1.06,0.036,0.087,Normal
1,30,945,0.141,0.15,9.1,0.91,0.111,0.088,Normal
1,31,901,0.141,0.13,9.0,0.87,0.023,0.088,Normal
1,32,369,0.141,0.14,9.1,0.97,0.024,0.088,Normal
1,33,293,0.141,0.18,9.2,1.13,0.014,0.09,Normal
1,34,729,0.142,0.19,9.3,1.1,0.024,0.09,Normal
1,35,406,0.142,0.2,9.3,1.08,0.062,0.091,Normal
1,36,374,0.142,0.18,9.2,1.19,0.04,0.09,Normal
1,37,666,0.142,0.22,9.4,0.9,0.044,0.092,Normal
1,38,395,0.143,0.21,9.4,1.03,0.062,0.092,Normal
1,39,685,0.143,0.22,9.5,1.12,0.053,0.092,Normal
1,40,286,0.143,0.22,9.5,0.82,0.091,0.093,Normal
1,41,427,0.143,0.24,9.5,1.15,0.017,0.093,Normal
1,42,109,0.143,0.25,9.6,0.98,0.062,0.094,Normal
1,43,953,0.144,0.25,9.6,0.81,0.056,0.094,Normal
1,44,134,0.144,0.27,9.7,1.07,0.074,0.095,Normal
1,45,162,0.144,0.24,9.6,1.18,0.086,0.094,Normal
1,46,792,0.144,0.25,9.7,0.82,0.056,0.094,Normal
1,47,631,0.145,0.25,9.7,1.01,0.112,0.095,Normal
1,48,674,0.145,0.22,9.6,0.83,0.021,0.093,Normal
1,49,407,0.145,0.24,9.7,0.98,0.025,0.095,Normal
1,50,196,0.146,0.26,9.8,1.06,0.079,0.095,Normal
1,51,519,0.146,0.28,9.9,0.99,0.041,0.096,Normal
1,52,565,0.146,0.27,9.9,0.93,0.137,0.096,Normal
1,53,865,0.147,0.25,9.8,0.88,0.037,0.096,Normal
1,54,338,0.147,0.28,10.0,0.92,0.043,0.097,Normal
1,55,295,0.147,0.33,10.1,0.89,0.02,0.099,Normal
1,56,112,0.147,0.31,10.1,1.12,0.051,0.098,Normal
1,57,876,0.148,0.3,10.1,1.13,0.053,0.098,Normal
1,58,272,0.148,0.31,10.1,0.83,0.069,0.099,Normal
1,59,205,0.148,0.32,10.1,1.02,0.036,0.099,Normal
1,60,856,0.148,0.29,10.1,1.05,0.069,0.098,Normal
1,61,855,0.149,0.27,10.0,0.87,0.035,0.098,Normal
1,62,523,0.149,0.22,9.8,0.93,0.129,0.096,Normal
1,63,460,0.15,0.22,9.8,0.97,0.055,0.096,Normal
1,64,762,0.15,0.26,10.0,0.93,0.022,0.098,Normal
1,65,519,0.15,0.24,9.9,1.08,0.012,0.097,Normal
1,66,154,0.15,0.23,9.9,0.85,0.021,0.097,Normal
1,67,830,0.15,0.22,9.9,1.02,0.017,0.096,Normal
1,68,416,0.15,0.18,9.7,0.86,0.073,0.095,Normal
1,69,336,0.15,0.2,9.8,1.17,0.067,0.096,Normal
1,70,386,0.151,0.19,9.8,1.2,0.046,0.095,Normal
1,71,705,0.151,0.19,9.8,1.12,0.038,0.096,Normal
1,72,717,0.151,0.18,9.8,1.05,0.028,0.095,Normal
1,73,221,0.151,0.15,9.7,1.09,0.061,0.094,Normal
1,74,189,0.151,0.19,9.8,1.02,0.059,0.096,Normal
1,75,405,0.152,0.21,9.9,1.0,0.02,0.097,Normal
1,76,154,0.152,0.21,9.9,0.91,0.04,0.097,Normal
1,77,146,0.152,0.22,10.0,1.12,0.054,0.097,Normal
1,78,324,0.152,0.2,9.9,1.0,0.077,0.096,Normal
1,79,278,0.152,0.21,10.0,1.07,0.051,0.097,Normal
1,80,930,0.152,0.23,10.1,0.85,0.027,0.098,Normal
1,81,914,0.153,0.26,10.2,1.11,0.068,0.1,Normal
1,82,720,0.153,0.28,10.3,0.86,0.078,0.101,Normal
1,83,527,0.154,0.28,10.3,0.81,0.061,0.101,Normal
1,84,425,0.154,0.28,10.4,1.09,0.145,0.101,Normal
1,85,776,0.154,0.28,10.4,0.87,0.012,0.101,Normal
1,86,615,0.155,0.29,10.5,0.84,0.109,0.102,Normal
1,87,596,0.155,0.27,10.4,0.82,0.035,0.102,Normal
1,88,427,0.156,0.31,10.6,1.07,0.074,0.103,Normal
1,89,449,0.156,0.3,10.5,1.07,0.05,0.103,Normal
1,90,651,0.156,0.31,10.6,1.0,0.012,0.103,Normal
1,91,395,0.156,0.29,10.5,0.86,0.05,0.103,Normal
1,92,235,0.156,0.26,10.4,0.84,0.061,0.102,Normal
1,93,527,0.157,0.27,10.5,1.19,0.078,0.102,Normal
1,94,865,0.157,0.26,10.5,0.83,0.061,0.102,Normal
1,95,484,0.157,0.29,10.6,1.18,0.026,0.103,Normal
