segment_id,time_step,load_cycles,wear_level,alignment_deviation,vibration_index,environment_factor,degradation_rate,risk_score,fault_label
1,0,929,0.055,0.2,4.1,0.91,0.041,0.04,Normal
1,1,388,0.055,0.21,4.2,0.84,0.051,0.041,Normal
1,2,136,0.055,0.21,4.2,1.12,0.065,0.041,Normal
1,3,689,0.056,0.21,4.2,1.0,0.04,0.041,Normal
1,4,962,0.056,0.22,4.3,1.15,0.074,0.042,Normal
1,5,383,0.057,0.21,4.2,1.18,0.037,0.042,Normal
1,6,198,0.057,0.21,4.2,0.91,0.058,0.042,Normal
1,7,219,0.057,0.2,4.2,0.84,0.045,0.041,Normal
1,8,614,0.057,0.18,4.2,1.18,0.053,0.041,Normal
1,9,865,0.058,0.19,4.2,1.07,0.05,0.041,Normal
1,10,654,0.058,0.18,4.2,0.87,0.065,0.041,Normal
1,11,911,0.059,0.18,4.3,1.18,0.101,0.042,Normal
1,12,399,0.059,0.18,4.3,1.05,0.03,0.042,Normal
1,13,951,0.06,0.23,4.5,1.0,0.043,0.044,Normal
1,14,172,0.06,0.27,4.7,0.85,0.021,0.046,Normal
1,15,919,0.06,0.27,4.7,0.95,0.061,0.046,Normal
1,16,357,0.06,0.27,4.7,0.91,0.097,0.046,Normal
1,17,910,0.061,0.28,4.8,0.9,0.073,0.047,Normal
1,18,236,0.061,0.24,4.6,0.99,0.061,0.045,Normal
1,19,864,0.062,0.22,4.6,0.82,0.107,0.045,Normal
1,20,211,0.062,0.23,4.6,0.88,0.021,0.045,Normal
1,21,618,0.062,0.21,4.6,1.0,0.031,0.045,Normal
1,22,614,0.063,0.21,4.6,1.0,0.073,0.045,Normal
1,23,623,0.063,0.19,4.5,0.83,0.017,0.044,Normal
1,24,772,0.063,0.19,4.6,0.9,0.096,0.045,Normal
1,25,436,0.064,0.17,4.5,0.99,0.045,0.044,Normal
1,26,912,0.064,0.18,4.6,1.05,0.093,0.045,Normal
1,27,659,0.065,0.17,4.6,0.91,0.116,0.045,Normal
1,28,715,0.066,0.18,4.7,0.9,0.077,0.046,Normal
1,29,448,0.066,0.18,4.7,0.88,0.093,0.046,Normal
1,30,977,0.066,0.14,4.5,0.99,0.036,0.044,Normal
1,31,725,0.067,0.14,4.5,0.97,0.047,0.044,Normal
1,32,123,0.067,0.14,4.6,1.02,0.056,0.045,Normal
1,33,882,0.067,0.15,4.6,1.13,0.031,0.045,Normal
1,34,911,0.068,0.17,4.7,0.93,0.054,0.046,Normal
1,35,511,0.068,0.15,4.7,1.01,0.076,0.046,Normal
1,36,226,0.068,0.12,4.5,1.13,0.073,0.044,Normal
1,37,728,0.068,0.1,4.5,0.81,0.042,0.044,Normal
1,38,319,0.068,0.06,4.4,0.96,0.019,0.042,Normal
1,39,115,0.068,0.04,4.3,1.14,0.068,0.042,Normal
1,40,475,0.069,0.01,4.2,0.87,0.071,0.041,Normal
1,41,915,0.069,0.05,4.4,1.0,0.051,0.042,Normal
1,42,410,0.069,0.07,4.5,1.14,0.022,0.043,Normal
1,43,507,0.07,0.05,4.4,0.95,0.05,0.042,Normal
1,44,482,0.07,0.04,4.4,1.1,0.04,0.042,Normal
1,45,159,0.07,0.04,4.4,0.82,0.015,0.042,Normal
1,46,238,0.07,0.06,4.4,1.03,0.03,0.043,Normal
1,47,850,0.07,0.06,4.5,0.94,0.065,0.043,Normal
1,48,501,0.071,0.09,4.6,1.05,0.039,0.045,Normal
